"","Location"
"1411","North Carolina"
"1412","North Carolina"
"1413","Tennessee"
"1414","Massachusetts"
"1415","California"
"1416","Texas"
"1417","New Hampshire"
"1418","Massachusetts"
"1419","Virginia"
"1420","New York"
"1421","North Carolina"
"1422","Connecticut"
"1423","New Jersey"
"1424","Illinois"
"1425","North Carolina"
"1426","Massachusetts"
"1427","Oregon"
"1428","North Carolina"
"1429","New York"
"1430","New Jersey"
"1431","North Carolina"
"1432","North Carolina"
"1433","Maryland"
"1434","Ohio"
"1435","Georgia"
"1436","North Carolina"
"1437","New Jersey"
"1438","North Carolina"
"1439","New York"
"1440","Texas"
"1441","North Carolina"
"1442","Colorado"
"1443","North Carolina"
"1444","North Carolina"
"1445","Pennsylvania"
"1446","North Carolina"
"1447","Virginia"
"1448","North Carolina"
"1449","North Carolina"
"1450","California"
"1451","Massachusetts"
"1452","Massachusetts"
"1453","Connecticut"
"1454","Maryland"
"1455","North Carolina"
"1456","Massachusetts"
"1457","Virginia"
"1458","Tennessee"
"1459","North Carolina"
"1460","Foreign Countries"
"1461","North Carolina"
"1462","New Jersey"
"1463","Foreign Countries"
"1464","New Jersey"
"1465","Georgia"
"1466","Florida"
"1467","North Carolina"
"1468","Virginia"
"1469","Massachusetts"
"1470","Massachusetts"
"1471","Pennsylvania"
"1472","Pennsylvania"
"1473","Connecticut"
"1474","California"
"1475","North Carolina"
"1476","North Carolina"
"1477","New York"
"1478","North Carolina"
"1479","New Jersey"
"1480","Delaware"
"1481","North Carolina"
"1482","North Carolina"
"1483","North Carolina"
"1484","Virginia"
"1485","Georgia"
"1486","Florida"
"1487","New York"
"1488","Foreign Countries"
"1489","Massachusetts"
"1490","Connecticut"
"1491","Virginia"
"1492","New Hampshire"
"1493","Virginia"
"1494","Massachusetts"
"1495","North Carolina"
"1496","North Carolina"
"1497","South Carolina"
"1498","Massachusetts"
"1499","Texas"
"1500","Florida"
"1501","Massachusetts"
"1502","North Carolina"
"1503","West Virginia"
"1504","South Carolina"
"1505","Massachusetts"
"1506","Michigan"
"1507","North Carolina"
"1508","North Carolina"
"1509","Washington"
"1510","North Carolina"
"1511","Michigan"
"1512","Massachusetts"
"1513","Massachusetts"
"1514","Ohio"
"1515","Georgia"
"1516","Georgia"
"1517","New Jersey"
"1518","Texas"
"1519","New York"
"1520","Colorado"
"1521","Other"
"1522","Virginia"
"1523","North Carolina"
"1524","Maryland"
"1525","North Carolina"
"1526","New York"
"1527","New Jersey"
"1528","Massachusetts"
"1529","North Carolina"
"1530","North Carolina"
"1531","Missouri"
"1532","North Carolina"
"1533","Connecticut"
"1534","Virginia"
"1535","North Carolina"
"1536","Colorado"
"1537","New Jersey"
"1538","North Carolina"
"1539","North Carolina"
"1540","New Jersey"
"1541","California"
"1542","Foreign Countries"
"1543","North Carolina"
"1544","Missouri"
"1545","Tennessee"
"1546","Maryland"
"1547","Massachusetts"
"1548","New Jersey"
"1549","North Carolina"
"1550","Virginia"
"1551","New Jersey"
"1552","Connecticut"
"1553","North Carolina"
"1554","Massachusetts"
"1555","North Carolina"
"1556","New Jersey"
"1557","Massachusetts"
"1558","North Carolina"
"1559","North Carolina"
"1560","Texas"
"1561","New York"
"1562","Maryland"
"1563","North Carolina"
"1564","Maryland"
"1565","Ohio"
"1566","Virginia"
"1567","New Hampshire"
"1568","New York"
"1569","New Jersey"
"1570","New York"
"1571","North Carolina"
"1572","North Carolina"
"1573","North Carolina"
"1574","Connecticut"
"1575","New Jersey"
"1576","Maryland"
"1577","Pennsylvania"
"1578","Massachusetts"
"1579","North Carolina"
"1580","Maryland"
"1581","Ohio"
"1582","Pennsylvania"
"1583","Maryland"
"1584","Massachusetts"
"1585","North Carolina"
"1586","Connecticut"
"1587","North Carolina"
"1588","Massachusetts"
"1589","Foreign Countries"
"1590","South Carolina"
"1591","Pennsylvania"
"1592","New Jersey"
"1593","North Carolina"
"1594","Florida"
"1595","Connecticut"
"1596","North Carolina"
"1597","Connecticut"
"1598","Ohio"
"1599","Texas"
"1600","Florida"
"1601","North Carolina"
"1602","New York"
"1603","Foreign Countries"
"1604","New York"
"1605","Tennessee"
"1606","Massachusetts"
"1607","Connecticut"
"1608","New York"
"1609","North Carolina"
"1610","Michigan"
"1611","Kansas"
"1612","North Carolina"
"1613","New York"
"1614","Massachusetts"
"1615","Virginia"
"1616","New Jersey"
"1617","North Carolina"
"1618","Maryland"
"1619","Massachusetts"
"1620","Massachusetts"
"1621","North Carolina"
"1622","North Carolina"
"1623","Connecticut"
"1624","Florida"
"1625","Pennsylvania"
"1626","New York"
"1627","Florida"
"1628","New Jersey"
"1629","Virginia"
"1630","Florida"
"1631","California"
"1632","Massachusetts"
"1633","Massachusetts"
"1634","North Carolina"
"1635","Arizona"
"1636","Virginia"
"1637","North Carolina"
"1638","Maryland"
"1639","Ohio"
"1640","New Jersey"
"1641","North Carolina"
"1642","New Jersey"
"1643","North Carolina"
"1644","Massachusetts"
"1645","New York"
"1646","Colorado"
"1647","New Jersey"
"1648","New Hampshire"
"1649","New Jersey"
"1650","New Jersey"
"1651","Foreign Countries"
"1652","New Jersey"
"1653","Massachusetts"
"1654","Virginia"
"1655","Maryland"
"1656","Massachusetts"
"1657","North Carolina"
"1658","North Carolina"
"1659","Virginia"
"1660","Maryland"
"1661","North Carolina"
"1662","Pennsylvania"
"1663","Tennessee"
"1664","Virginia"
"1665","Alabama"
"1666","North Carolina"
"1667","California"
"1668","North Carolina"
"1669","North Carolina"
"1670","North Carolina"
"1671","North Carolina"
"1672","South Carolina"
"1673","New York"
"1674","Alabama"
"1675","North Carolina"
"1676","Virginia"
"1677","Alabama"
"1678","Ohio"
"1679","New York"
"1680","Pennsylvania"
"1681","Kentucky"
"1682","North Carolina"
"1683","Georgia"
"1684","West Virginia"
"1685","North Carolina"
"1686","North Carolina"
"1687","Virginia"
"1688","North Carolina"
"1689","Connecticut"
"1690","New York"
"1691","Texas"
"1692","North Carolina"
"1693","District Of Columbia"
"1694","Maryland"
"1695","North Carolina"
"1696","Virginia"
"1697","Pennsylvania"
"1698","Georgia"
"1699","Pennsylvania"
"1700","New York"
"1701","New Jersey"
"1702","Georgia"
"1703","North Carolina"
"1704","Pennsylvania"
"1705","North Carolina"
"1706","Alabama"
"1707","South Carolina"
"1708","South Carolina"
"1709","North Carolina"
"1710","Kansas"
"1711","North Carolina"
"1712","Virginia"
"1713","North Carolina"
"1714","South Carolina"
"1715","Massachusetts"
"1716","Virginia"
"1717","Massachusetts"
"1718","North Carolina"
"1719","North Carolina"
"1720","Connecticut"
"1721","North Carolina"
"1722","North Carolina"
"1723","North Carolina"
"1724","New York"
"1725","North Carolina"
"1726","New York"
"1727","North Carolina"
"1728","North Carolina"
"1729","Maryland"
"1730","North Carolina"
"1731","Pennsylvania"
"1732","North Carolina"
"1733","California"
"1734","Virginia"
"1735","New Jersey"
"1736","Georgia"
"1737","New Jersey"
"1738","North Carolina"
"1739","New Hampshire"
"1740","Minnesota"
"1741","Connecticut"
"1742","North Carolina"
"1743","Delaware"
"1744","Maryland"
"1745","North Carolina"
"1746","New Hampshire"
"1747","Florida"
"1748","Virginia"
"1749","Connecticut"
"1750","North Carolina"
"1751","Massachusetts"
"1752","Massachusetts"
"1753","Maryland"
"1754","North Carolina"
"1755","New Jersey"
"1756","Massachusetts"
"1757","North Carolina"
"1758","Florida"
"1759","Maryland"
"1760","New York"
"1761","Texas"
"1762","Massachusetts"
"1763","Massachusetts"
"1764","New Jersey"
"1765","North Carolina"
"1766","Massachusetts"
"1767","Maryland"
"1768","California"
"1769","Minnesota"
"1770","Rhode Island"
"1771","New Jersey"
"1772","Connecticut"
"1773","Maryland"
"1774","North Carolina"
"1775","Connecticut"
"1776","North Carolina"
"1777","Florida"
"1778","Massachusetts"
"1779","Ohio"
"1780","Massachusetts"
"1781","Massachusetts"
"1782","California"
"1783","New Jersey"
"1784","Virginia"
"1785","Virginia"
"1786","Florida"
"1787","Virginia"
"1788","North Carolina"
"1789","Colorado"
"1790","North Carolina"
"1791","Georgia"
"1792","North Carolina"
"1793","Connecticut"
"1794","North Carolina"
"1795","Foreign Countries"
"1796","Pennsylvania"
"1797","Connecticut"
"1798","North Carolina"
"1799","Connecticut"
"1800","North Carolina"
"1801","New York"
"1802","Massachusetts"
"1803","Massachusetts"
"1804","North Carolina"
"1805","North Carolina"
"1806","Illinois"
"1807","North Carolina"
"1808","Massachusetts"
"1809","Virginia"
"1810","Massachusetts"
"1811","Illinois"
"1812","Massachusetts"
"1813","North Carolina"
"1814","North Carolina"
"1815","North Carolina"
"1816","North Carolina"
"1817","New York"
"1818","Foreign Countries"
"1819","New Jersey"
"1820","North Carolina"
"1821","Virginia"
"1822","North Carolina"
"1823","Massachusetts"
"1824","Connecticut"
"1825","Ohio"
"1826","North Carolina"
"1827","Maryland"
"1828","Virginia"
"1829","North Carolina"
"1830","North Carolina"
"1831","North Carolina"
"1832","North Carolina"
"1833","California"
"1834","North Carolina"
"1835","Virginia"
"1836","Utah"
"1837","New York"
"1838","North Carolina"
"1839","Washington"
"1840","Massachusetts"
"1841","California"
"1842","Connecticut"
"1843","North Carolina"
"1844","California"
"1845","Connecticut"
"1846","Virginia"
"1847","North Carolina"
"1848","Arkansas"
"1849","New Jersey"
"1850","New York"
"1851","Connecticut"
"1852","Massachusetts"
"1853","Maryland"
"1854","New Jersey"
"1855","New Jersey"
"1856","Massachusetts"
"1857","Illinois"
"1858","Massachusetts"
"1859","Vermont"
"1860","New York"
"1861","New Jersey"
"1862","North Carolina"
"1863","North Carolina"
"1864","Massachusetts"
"1865","Colorado"
"1866","Michigan"
"1867","North Carolina"
"1868","Massachusetts"
"1869","Massachusetts"
"1870","Nevada"
"1871","Florida"
"1872","Illinois"
"1873","Texas"
"1874","Foreign Countries"
"1875","North Carolina"
"1876","Maine"
"1877","Massachusetts"
"1878","Pennsylvania"
"1879","Maryland"
"1880","Tennessee"
"1881","New Jersey"
"1882","Texas"
"1883","California"
"1884","Massachusetts"
"1885","Massachusetts"
"1886","Virginia"
"1887","North Carolina"
"1888","North Carolina"
"1889","New Jersey"
"1890","North Carolina"
"1891","Virginia"
"1892","Maryland"
"1893","Tennessee"
"1894","Pennsylvania"
"1895","Pennsylvania"
"1896","North Carolina"
"1897","North Carolina"
"1898","Foreign Countries"
"1899","Pennsylvania"
"1900","North Carolina"
"1901","Texas"
"1902","Connecticut"
"1903","North Carolina"
"1904","Louisiana"
"1905","New York"
"1906","Maryland"
"1907","New Jersey"
"1908","North Carolina"
"1909","New York"
"1910","New York"
"1911","New York"
"1912","Georgia"
"1913","Georgia"
"1914","Massachusetts"
"1915","Connecticut"
"1916","Virginia"
"1917","New York"
"1918","Georgia"
"1919","North Carolina"
"1920","Rhode Island"
"1921","Florida"
"1922","Virginia"
"1923","Ohio"
"1924","Massachusetts"
"1925","Georgia"
"1926","South Carolina"
"1927","Florida"
"1928","New Jersey"
"1929","North Carolina"
"1930","Maryland"
"1931","Maryland"
"1932","New York"
"1933","New Jersey"
"1934","South Carolina"
"1935","North Carolina"
"1936","Massachusetts"
"1937","Florida"
"1938","Pennsylvania"
"1939","New York"
"1940","New York"
"1941","North Carolina"
"1942","Foreign Countries"
"1943","New Jersey"
"1944","South Carolina"
"1945","Massachusetts"
"1946","Massachusetts"
"1947","New York"
"1948","North Carolina"
"1949","Connecticut"
"1950","Virginia"
"1951","New York"
"1952","New York"
"1953","North Carolina"
"1954","New Jersey"
"1955","Virginia"
"1956","New Jersey"
"1957","Georgia"
"1958","North Carolina"
"1959","Foreign Countries"
"1960","North Carolina"
"1961","Massachusetts"
"1962","Massachusetts"
"1963","North Carolina"
"1964","Maryland"
"1965","New York"
"1966","Connecticut"
"1967","Massachusetts"
"1968","Maryland"
"1969","North Carolina"
"1970","North Carolina"
"1971","New York"
"1972","North Carolina"
"1973","North Carolina"
"1974","North Carolina"
"1975","Ohio"
"1976","New Hampshire"
"1977","North Carolina"
"1978","Maryland"
"1979","Georgia"
"1980","North Carolina"
"1981","North Carolina"
"1982","Florida"
"1983","New Jersey"
"1984","North Carolina"
"1985","New York"
"1986","New Jersey"
"1987","North Carolina"
"1988","Massachusetts"
"1989","Foreign Countries"
"1990","Massachusetts"
"1991","North Carolina"
"1992","North Carolina"
"1993","North Carolina"
"1994","Massachusetts"
"1995","North Carolina"
"1996","Massachusetts"
"1997","Massachusetts"
"1998","North Carolina"
"1999","North Carolina"
"2000","Connecticut"
"2001","Connecticut"
"2002","North Carolina"
"2003","Delaware"
"2004","California"
"2005","Georgia"
"2006","Illinois"
"2007","Virginia"
"2008","South Carolina"
"2009","New Jersey"
"2010","Virginia"
"2011","Connecticut"
"2012","North Carolina"
"2013","North Carolina"
"2014","New Jersey"
"2015","New York"
"2016","Georgia"
"2017","North Carolina"
"2018","Maryland"
"2019","California"
"2020","North Carolina"
"2021","North Carolina"
"2022","Virginia"
"2023","Tennessee"
"2024","Georgia"
"2025","North Carolina"
"2026","Delaware"
"2027","New Jersey"
"2028","Maryland"
"2029","North Carolina"
"2030","North Carolina"
"2031","Massachusetts"
"2032","Illinois"
"2033","Maryland"
"2034","Connecticut"
"2035","Massachusetts"
"2036","North Carolina"
"2037","North Carolina"
"2038","Massachusetts"
"2039","Pennsylvania"
"2040","New Hampshire"
"2041","Virginia"
"2042","North Carolina"
"2043","Maryland"
"2044","North Carolina"
"2045","Alaska"
"2046","Connecticut"
"2047","Foreign Countries"
"2048","Ohio"
"2049","New Jersey"
"2050","Massachusetts"
"2051","North Carolina"
"2052","North Carolina"
"2053","New Jersey"
"2054","Massachusetts"
"2055","North Carolina"
"2056","Connecticut"
"2057","Georgia"
"2058","Georgia"
"2059","North Carolina"
"2060","North Carolina"
"2061","Virginia"
"2062","New Jersey"
"2063","Delaware"
"2064","North Carolina"
"2065","New Jersey"
"2066","Massachusetts"
"2067","North Carolina"
"2068","North Carolina"
"2069","Foreign Countries"
"2070","California"
"2071","New York"
"2072","South Carolina"
"2073","Virginia"
"2074","Georgia"
"2075","Pennsylvania"
"2076","North Carolina"
"2077","North Carolina"
"2078","Missouri"
"2079","New York"
"2080","New Hampshire"
"2081","North Carolina"
"2082","Massachusetts"
"2083","Ohio"
"2084","South Carolina"
"2085","Georgia"
"2086","North Carolina"
"2087","North Carolina"
"2088","Vermont"
"2089","North Carolina"
"2090","Virginia"
"2091","Delaware"
"2092","New Jersey"
"2093","Tennessee"
"2094","North Carolina"
"2095","North Carolina"
"2096","New Jersey"
"2097","North Carolina"
"2098","Other"
"2099","Pennsylvania"
"2100","New York"
"2101","North Carolina"
"2102","Massachusetts"
"2103","North Carolina"
"2104","Connecticut"
"2105","Pennsylvania"
"2106","Maine"
"2107","North Carolina"
"2108","Massachusetts"
"2109","New York"
"2110","Massachusetts"
"2111","Massachusetts"
"2112","Virginia"
"2113","Virginia"
"2114","Illinois"
"2115","North Carolina"
"2116","North Carolina"
"2117","New Jersey"
"2118","North Carolina"
"2119","Connecticut"
"2120","Florida"
"2121","Florida"
"2122","South Carolina"
"2123","California"
"2124","North Carolina"
"2125","Pennsylvania"
"2126","North Carolina"
"2127","Virginia"
"2128","Maryland"
"2129","North Carolina"
"2130","New York"
"2131","Connecticut"
"2132","North Carolina"
"2133","Foreign Countries"
"2134","New Jersey"
"2135","Michigan"
"2136","New Jersey"
"2137","North Carolina"
"2138","North Carolina"
"2139","Washington"
"2140","North Carolina"
"2141","Massachusetts"
"2142","Florida"
"2143","Connecticut"
"2144","Virginia"
"2145","North Carolina"
"2146","North Carolina"
"2147","North Carolina"
"2148","Georgia"
"2149","Missouri"
"2150","North Carolina"
"2151","Pennsylvania"
"2152","North Carolina"
"2153","Connecticut"
"2154","Texas"
"2155","Virginia"
"2156","New York"
"2157","North Carolina"
"2158","New York"
"2159","North Carolina"
"2160","Massachusetts"
"2161","New Jersey"
"2162","South Carolina"
"2163","New Jersey"
"2164","Georgia"
"2165","Other"
"2166","North Carolina"
"2167","New York"
"2168","District Of Columbia"
"2169","Maryland"
"2170","Massachusetts"
"2171","Ohio"
"2172","Tennessee"
"2173","North Carolina"
"2174","North Carolina"
"2175","North Carolina"
"2176","North Carolina"
"2177","New Jersey"
"2178","North Carolina"
"2179","Connecticut"
"2180","Delaware"
"2181","North Carolina"
"2182","Kansas"
"2183","North Carolina"
"2184","North Carolina"
"2185","New Jersey"
"2186","Massachusetts"
"2187","Maryland"
"2188","Illinois"
"2189","Missouri"
"2190","North Carolina"
"2191","New Jersey"
"2192","Connecticut"
"2193","Pennsylvania"
"2194","North Carolina"
"2195","Virginia"
"2196","Massachusetts"
"2197","North Carolina"
"2198","Massachusetts"
"2199","Virginia"
"2200","Virginia"
"2201","Illinois"
"2202","New Jersey"
"2203","Massachusetts"
"2204","Massachusetts"
"2205","New Jersey"
"2206","Maryland"
"2207","Massachusetts"
"2208","North Carolina"
"2209","North Carolina"
"2210","North Carolina"
"2211","Ohio"
"2212","North Carolina"
"2213","Texas"
"2214","Virginia"
"2215","Connecticut"
"2216","Connecticut"
"2217","New York"
"2218","New Jersey"
"2219","Virginia"
"2220","Texas"
"2221","Virginia"
"2222","New York"
"2223","North Carolina"
"2224","Pennsylvania"
"2225","North Carolina"
"2226","Massachusetts"
"2227","New York"
"2228","North Carolina"
"2229","North Carolina"
"2230","North Carolina"
"2231","New York"
"2232","Virginia"
"2233","North Carolina"
"2234","Pennsylvania"
"2235","Ohio"
"2236","North Carolina"
"2237","New York"
"2238","New York"
"2239","Pennsylvania"
"2240","California"
"2241","North Carolina"
"2242","South Carolina"
"2243","Pennsylvania"
"2244","North Carolina"
"2245","Maryland"
"2246","Florida"
"2247","Maryland"
"2248","Georgia"
"2249","Massachusetts"
"2250","Pennsylvania"
"2251","Ohio"
"2252","Connecticut"
"2253","Colorado"
"2254","California"
"2255","Maryland"
"2256","Pennsylvania"
"2257","North Carolina"
"2258","Vermont"
"2259","North Carolina"
"2260","South Carolina"
"2261","New York"
"2262","Virginia"
"2263","North Carolina"
"2264","New York"
"2265","Florida"
"2266","North Carolina"
"2267","North Carolina"
"2268","Connecticut"
"2269","Maryland"
"2270","New York"
"2271","Maryland"
"2272","North Carolina"
"2273","North Carolina"
"2274","New Hampshire"
"2275","Maryland"
"2276","North Carolina"
"2277","Virginia"
"2278","New Jersey"
"2279","Michigan"
"2280","Maryland"
"2281","Connecticut"
"2282","Foreign Countries"
"2283","New Jersey"
"2284","Maine"
"2285","Illinois"
"2286","North Carolina"
"2287","Foreign Countries"
"2288","North Carolina"
"2289","Wisconsin"
"2290","New York"
"2291","New York"
"2292","Connecticut"
"2293","Connecticut"
"2294","Maine"
"2295","New York"
"2296","Tennessee"
"2297","Connecticut"
"2298","Massachusetts"
"2299","Ohio"
"2300","Georgia"
"2301","Arkansas"
"2302","North Carolina"
"2303","Virginia"
"2304","Illinois"
"2305","North Carolina"
"2306","South Carolina"
"2307","North Carolina"
"2308","Connecticut"
"2309","Massachusetts"
"2310","North Carolina"
"2311","Washington"
"2312","North Carolina"
"2313","Connecticut"
"2314","New Hampshire"
"2315","Massachusetts"
"2316","Pennsylvania"
"2317","Kansas"
"2318","North Carolina"
"2319","New York"
"2320","New York"
"2321","New Jersey"
"2322","New York"
"2323","Maryland"
"2324","Tennessee"
"2325","Maryland"
"2326","Florida"
"2327","Illinois"
"2328","Florida"
"2329","North Carolina"
"2330","Massachusetts"
"2331","North Carolina"
"2332","North Carolina"
"2333","Massachusetts"
"2334","Ohio"
"2335","North Carolina"
"2336","North Carolina"
"2337","Connecticut"
"2338","New Jersey"
"2339","North Carolina"
"2340","North Carolina"
"2341","North Carolina"
"2342","Virginia"
"2343","North Carolina"
"2344","North Carolina"
"2345","North Carolina"
"2346","Foreign Countries"
"2347","Illinois"
"2348","Virginia"
"2349","New York"
"2350","New Jersey"
"2351","North Carolina"
"2352","Texas"
"2353","Georgia"
"2354","Maryland"
"2355","New York"
"2356","North Carolina"
"2357","Virginia"
"2358","New Hampshire"
"2359","Maryland"
"2360","Colorado"
"2361","Massachusetts"
"2362","North Carolina"
"2363","Massachusetts"
"2364","New York"
"2365","New Hampshire"
"2366","New Hampshire"
"2367","Massachusetts"
"2368","Virginia"
"2369","North Carolina"
"2370","Rhode Island"
"2371","Florida"
"2372","New Jersey"
"2373","Connecticut"
"2374","California"
"2375","Massachusetts"
"2376","New Hampshire"
"2377","New York"
"2378","Kentucky"
"2379","Connecticut"
"2380","Massachusetts"
"2381","New York"
"2382","North Carolina"
"2383","Maryland"
"2384","New York"
"2385","North Carolina"
"2386","Florida"
"2387","Massachusetts"
"2388","Maine"
"2389","North Carolina"
"2390","Massachusetts"
"2391","Connecticut"
"2392","North Carolina"
"2393","Vermont"
"2394","Maryland"
"2395","North Carolina"
"2396","New York"
"2397","Colorado"
"2398","North Carolina"
"2399","North Carolina"
"2400","North Carolina"
"2401","Maryland"
"2402","New Jersey"
"2403","Virginia"
"2404","North Carolina"
"2405","North Carolina"
"2406","North Carolina"
"2407","Massachusetts"
"2408","Ohio"
"2409","Florida"
"2410","Florida"
"2411","New York"
"2412","Florida"
"2413","Texas"
"2414","North Carolina"
"2415","Massachusetts"
"2416","New Jersey"
"2417","Massachusetts"
"2418","North Carolina"
"2419","California"
"2420","North Carolina"
"2421","New Jersey"
"2422","Georgia"
"2423","North Carolina"
"2424","North Carolina"
"2425","North Carolina"
"2426","Connecticut"
"2427","Georgia"
"2428","Maryland"
"2429","New Jersey"
"2430","Connecticut"
"2431","Massachusetts"
"2432","Georgia"
"2433","Ohio"
"2434","Other"
"2435","North Carolina"
"2436","New Jersey"
"2437","Maryland"
"2438","Pennsylvania"
"2439","Pennsylvania"
"2440","North Carolina"
"2441","Massachusetts"
"2442","Texas"
"2443","Virginia"
"2444","Texas"
"2445","New York"
"2446","Massachusetts"
"2447","Massachusetts"
"2448","North Carolina"
"2449","New York"
"2450","New Jersey"
"2451","North Carolina"
"2452","Massachusetts"
"2453","Texas"
"2454","North Carolina"
"2455","North Carolina"
"2456","New Jersey"
"2457","New Hampshire"
"2458","North Carolina"
"2459","North Carolina"
"2460","North Carolina"
"2461","Florida"
"2462","Colorado"
"2463","California"
"2464","Pennsylvania"
"2465","Pennsylvania"
"2466","Georgia"
"2467","New Jersey"
"2468","Massachusetts"
"2469","New York"
"2470","Virginia"
"2471","Massachusetts"
"2472","North Carolina"
"2473","Massachusetts"
"2474","New Jersey"
"2475","Massachusetts"
"2476","Georgia"
"2477","Connecticut"
"2478","Minnesota"
"2479","Georgia"
"2480","North Carolina"
"2481","Tennessee"
"2482","New Jersey"
"2483","North Carolina"
"2484","North Carolina"
"2485","North Carolina"
"2486","New York"
"2487","Foreign Countries"
"2488","Connecticut"
"2489","North Carolina"
"2490","Massachusetts"
"2491","Connecticut"
"2492","Massachusetts"
"2493","New Jersey"
"2494","Maryland"
"2495","Georgia"
"2496","South Carolina"
"2497","New Jersey"
"2498","Massachusetts"
"2499","New York"
"2500","Florida"
"2501","North Carolina"
"2502","Texas"
"2503","Florida"
"2504","Massachusetts"
"2505","South Carolina"
"2506","Illinois"
"2507","North Carolina"
"2508","Virginia"
"2509","New York"
"2510","Florida"
"2511","Massachusetts"
"2512","Florida"
"2513","North Carolina"
"2514","Massachusetts"
"2515","Georgia"
"2516","Massachusetts"
"2517","Texas"
"2518","Connecticut"
"2519","California"
"2520","North Carolina"
"2521","North Carolina"
"2522","Illinois"
"2523","North Carolina"
"2524","New Jersey"
"2525","North Carolina"
"2526","Pennsylvania"
"2527","Virginia"
"2528","North Carolina"
"2529","Tennessee"
"2530","New York"
"2531","North Carolina"
"2532","Connecticut"
"2533","Maryland"
"2534","North Carolina"
"2535","Texas"
"2536","Massachusetts"
"2537","Florida"
"2538","Virginia"
"2539","North Carolina"
"2540","North Carolina"
"2541","Virginia"
"2542","Florida"
"2543","North Carolina"
"2544","Georgia"
"2545","South Carolina"
"2546","North Carolina"
"2547","North Carolina"
"2548","North Carolina"
"2549","Massachusetts"
"2550","Massachusetts"
"2551","New Jersey"
"2552","Foreign Countries"
"2553","Maryland"
"2554","Pennsylvania"
"2555","North Carolina"
"2556","North Carolina"
"2557","South Carolina"
"2558","New York"
"2559","New York"
"2560","Washington"
"2561","Kansas"
"2562","Missouri"
"2563","Massachusetts"
"2564","North Carolina"
"2565","New Jersey"
"2566","North Carolina"
"2567","North Carolina"
"2568","Florida"
"2569","New Jersey"
"2570","New Jersey"
"2571","New Jersey"
"2572","North Carolina"
"2573","Pennsylvania"
"2574","North Carolina"
"2575","Georgia"
"2576","Massachusetts"
"2577","Connecticut"
"2578","North Carolina"
"2579","Connecticut"
"2580","Virginia"
"2581","North Carolina"
"2582","Texas"
"2583","Virginia"
"2584","New Jersey"
"2585","New Jersey"
"2586","North Carolina"
"2587","South Carolina"
"2588","North Carolina"
"2589","Virginia"
"2590","Illinois"
"2591","Connecticut"
"2592","North Carolina"
"2593","New Jersey"
"2594","New York"
"2595","North Carolina"
"2596","New York"
"2597","Virginia"
"2598","North Carolina"
"2599","South Carolina"
"2600","New York"
"2601","North Carolina"
"2602","Connecticut"
"2603","Foreign Countries"
"2604","North Carolina"
"2605","Virginia"
"2606","North Carolina"
"2607","New Hampshire"
"2608","Pennsylvania"
"2609","North Carolina"
"2610","New Jersey"
"2611","Florida"
"2612","South Carolina"
"2613","North Carolina"
"2614","New Jersey"
"2615","South Carolina"
"2616","North Carolina"
"2617","Maryland"
"2618","Pennsylvania"
"2619","Pennsylvania"
"2620","Virginia"
"2621","New Jersey"
"2622","New Jersey"
"2623","North Carolina"
"2624","Vermont"
"2625","North Carolina"
"2626","Maryland"
"2627","South Carolina"
"2628","North Carolina"
"2629","Massachusetts"
"2630","Georgia"
"2631","Maryland"
"2632","New York"
"2633","Massachusetts"
"2634","Maryland"
"2635","North Carolina"
"2636","Massachusetts"
"2637","Georgia"
"2638","Florida"
"2639","Pennsylvania"
"2640","Georgia"
"2641","South Carolina"
"2642","North Carolina"
"2643","New Jersey"
"2644","Virginia"
"2645","Massachusetts"
"2646","New York"
"2647","New Jersey"
"2648","Virginia"
"2649","North Carolina"
"2650","Virginia"
"2651","Puerto Rico"
"2652","Wisconsin"
"2653","Texas"
"2654","Florida"
"2655","Florida"
"2656","Massachusetts"
"2657","Tennessee"
"2658","Mississippi"
"2659","Connecticut"
"2660","Ohio"
"2661","North Carolina"
"2662","North Carolina"
"2663","Georgia"
"2664","Pennsylvania"
"2665","Colorado"
"2666","New Jersey"
"2667","Massachusetts"
"2668","New Jersey"
"2669","Georgia"
"2670","Georgia"
"2671","Pennsylvania"
"2672","Pennsylvania"
"2673","North Carolina"
"2674","North Carolina"
"2675","Vermont"
"2676","Massachusetts"
"2677","California"
"2678","North Carolina"
"2679","Massachusetts"
"2680","North Carolina"
"2681","Georgia"
"2682","Connecticut"
"2683","Foreign Countries"
"2684","North Carolina"
"2685","Missouri"
"2686","Ohio"
"2687","Virginia"
"2688","Massachusetts"
"2689","Virginia"
"2690","Connecticut"
"2691","Georgia"
"2692","New York"
"2693","Foreign Countries"
"2694","North Carolina"
"2695","Maryland"
"2696","North Carolina"
"2697","New York"
"2698","Ohio"
"2699","Virginia"
"2700","New Jersey"
"2701","Rhode Island"
"2702","Minnesota"
"2703","New York"
"2704","New Jersey"
"2705","North Carolina"
"2706","Texas"
"2707","New York"
"2708","Massachusetts"
"2709","North Carolina"
"2710","Massachusetts"
"2711","Massachusetts"
"2712","Virginia"
"2713","Massachusetts"
"2714","Connecticut"
"2715","Pennsylvania"
"2716","Virginia"
"2717","Maryland"
"2718","South Carolina"
"2719","Other"
"2720","North Carolina"
"2721","North Carolina"
"2722","North Carolina"
"2723","North Carolina"
"2724","North Carolina"
"2725","Maine"
"2726","New York"
"2727","North Carolina"
"2728","Florida"
"2729","Indiana"
