Name,Population-weighted tree cover,5-year change,Annual rainfall (inches),Average annual temperature (daily high),Total population,Population density (persons per sq mi),Tree cover in peer cities,List of peer cities
"Brady, Texas",31.2,8.3,25.9,78.8,4788,1753,NaN,-
"Brainerd, Minn.",38.4,-1.3,30.6,52.5,27987,1634,NaN,-
"Brandon, S.D.",11.7,-0.5,28.9,57.3,15223,2843,NaN,-
"Branson, Mo.",51.2,2.7,50.1,69.3,36753,1012,NaN,-
"Brattleboro, Vt.",50.2,15.5,52.4,58.5,13256,2282,NaN,-
"Brawley, Calif.",8.6,1,2.3,90.4,26497,5580,NaN,-
"Brazil, Ind.",27.6,-0.2,48.8,64,14422,2185,NaN,-
"Breaux Bridge, La.",25.9,0.7,66.5,78.7,26592,1220,NaN,-
"Breckenridge, Colo.",37.4,-0.4,23.3,50.6,11202,946,NaN,-
"Breckenridge, Texas",26,4.4,29.9,78.1,5896,1227,NaN,-
"Breese, Ill.",12.5,-0.9,45.8,66.4,7031,2989,NaN,-
"Bremen, Ga.",57.4,1.6,60.9,71.3,12385,1686,NaN,-
"Bremerton, Wash.",50.7,3.5,50.4,60.5,239393,1532,29.9,"Olympia–Lacey, Wash. // Marysville, Wash. // Bellingham, Wash. // Longview, Wash./Ore. // Centralia, Wash."
"Brenham, Texas",21.9,-0.7,44.3,80.2,23036,2241,NaN,-
"Brevard, N.C.",58.5,4,77.7,67.5,20910,1513,NaN,-
"Brewton, Ala.",45.5,2,65,78.3,11859,1897,NaN,-
"Bridgeton, N.J.",37.7,0.8,49.2,65.8,42382,3432,NaN,-
"Brigham City, Utah",11.3,-0.5,21.5,62.1,30392,2589,NaN,-
"Bristol, Tenn./Va.",31.7,-0.4,51.5,67.2,96941,1400,40.2,"Morristown, Tenn. // Kingsport, Tenn./Va. // Johnson City, Tenn. // Charleston, W.Va. // Asheville, N.C."
"Broadway–Timberville, Va.",18.2,1.3,39.1,65.5,11372,3147,NaN,-
"Brockport, N.Y.",32.8,-0.6,37.7,58.5,17441,2695,NaN,-
"Brookfield, Mo.",25.5,0.2,42.1,64,4912,1535,NaN,-
"Brookhaven, Miss.",37.6,1.4,66.5,77.2,16645,1658,NaN,-
"Brookings, Ore.",32.8,4.1,84.9,62.4,13591,1857,NaN,-
"Brookings, S.D.",17.6,-1.8,26.9,54.7,25105,2268,NaN,-
"Brooksville, Fla.",58.5,-0.9,61.5,82.9,20299,2119,NaN,-
"Brookville, Ohio",16.6,-5.7,43.7,62.6,9391,2181,NaN,-
"Brookville, Pa.",38.1,3.3,49.2,59.2,6368,1734,NaN,-
"Brownfield, Texas",9.5,0.1,16.9,76,9312,2145,NaN,-
"Browns Mills, N.J.",45.6,0.6,51.8,65.1,32952,1843,NaN,-
"Brownsville, Tenn.",30.8,2.3,58.5,71.1,10649,1445,NaN,-
"Brownsville, Texas",15.9,-1.7,29.9,84.2,226648,3482,13.8,"Laredo, Texas // Harlingen, Texas // Corpus Christi, Texas // McAllen, Texas // Rio Grande City–Roma, Texas"
"Brownwood, Texas",27.1,3.1,28.6,79.3,25906,1919,NaN,-
"Brunswick, Md.",35.6,2.1,44.1,65.3,9184,2527,NaN,-
"Brunswick, Maine",51.3,2.1,50.8,56.4,41673,1473,NaN,-
"Brunswick–St. Simons, Ga.",41.7,-1.7,52.6,78.5,81216,1348,51.2,"Bluffton East–Hilton Head Island, S.C. // Beaufort–Port Royal, S.C. // Hinesville, Ga. // Fernandina Beach–Yulee, Fla. // Bluffton West, S.C."
"Brush, Colo.",16.6,2.6,15.9,65.8,5764,2387,NaN,-
"Bryan, Ohio",24.9,4.4,38.1,60.5,12721,2498,NaN,-
"Buchanan, Mich.",46.7,0.5,43.5,59.6,11151,2013,NaN,-
"Buckeye North, Ariz.",5.7,1.1,8.9,85.6,8266,2946,NaN,-
"Buckeye, Ariz.",4.9,0.7,7.5,88.2,26454,3404,NaN,-
"Buckhannon, W.Va.",30.5,0.8,53.5,63.6,12778,1960,NaN,-
"Bucyrus, Ohio",18.5,2.3,42.5,61.2,12396,1810,NaN,-
"Buellton, Calif.",16.4,4.7,17.2,72,5151,3222,NaN,-
"Buena Vista, Colo.",9.6,0.7,11.3,59.7,5414,1074,NaN,-
"Buena Vista, Va.",52.9,3,46.1,67.1,9328,2260,NaN,-
"Buffalo, Minn.",23.7,2.8,33,54.4,19789,2107,NaN,-
"Buffalo, Wyo.",13.6,1.3,14.8,58.6,6297,2007,NaN,-
"Buies Creek–Lillington, N.C.",41,1.5,51.8,73,15631,2174,NaN,-
"Bullhead City, Ariz./Nev.",2.3,0.4,4.9,88.1,62136,1708,5.3,"Lake Havasu City, Ariz. // Casa Grande, Ariz. // El Centro, Calif. // Yuma, Ariz./Calif. // Indio–Palm Desert–Palm Springs, Calif."
"Burkburnett, Texas",16.2,1.1,31,76.8,12199,1881,NaN,-
"Burley, Idaho",7.8,0.2,12.2,62,25460,2489,NaN,-
"Burlington, Iowa/Ill.",24.9,-2,42.2,61.6,32402,1528,NaN,-
"Burlington, N.C.",43.6,2.1,48.6,71.1,167704,1776,46.6,"Lynchburg, Va. // High Point, N.C. // Concord, N.C. // Greensboro, N.C. // Danville, Va./N.C."
"Burlington, Vt.",39,-2,42.5,56.8,128555,2037,48.2,"Saratoga Springs, N.Y. // Dover–Rochester, N.H./Maine // Manchester, N.H. // Glens Falls, N.Y. // Concord, N.H."
"Burlington, Wis.",31.6,-0.5,37.3,56.9,31438,2260,NaN,-
"Burnet, Texas",23.6,4.6,31.6,78.7,8252,2295,NaN,-
"Burns, Ore.",9.3,0.9,11.1,61,3870,1526,NaN,-
"Burnt Store Marina, Fla.",21.2,-2.6,57.6,85.3,5627,1222,NaN,-
"Bushnell, Fla.",35.2,-2.6,53.9,83.2,12280,4366,NaN,-
"Butler, Pa.",40.9,3.4,47.7,60.8,51892,1812,39.4,"Sharon–Hermitage, Pa./Ohio // Monessen, Pa. // Johnstown, Pa. // Wheeling, W.Va./Ohio // Steubenville–Weirton, Ohio/W.Va./Pa."
"Butte-Silver Bow, Mont.",5.2,-0.1,14.2,54.7,32878,2170,NaN,-
"Byron, Ill.",26.5,-2.3,40,59,9937,2806,NaN,-
"Byron, Minn.",11.8,0.6,37.5,54.4,7503,2364,NaN,-
"Cadillac, Mich.",32.3,1.6,38.6,54.6,19871,1550,NaN,-
"Cairo, Ga.",49.8,-1.5,56.7,78.7,13847,1715,NaN,-
"Calexico, Calif.",8.7,3.2,2.4,89.4,38690,7138,NaN,-
"Calhoun, Ga.",39.3,-1.9,58.7,72.7,31588,1549,NaN,-
"California–Brownsville, Pa.",40.2,9.8,46.7,63.1,16826,2573,NaN,-
"Calistoga, Calif.",32.4,1.8,34.7,74.4,5191,2271,NaN,-
"Calumet, Mich.",30.9,1,39.8,49.1,7427,2983,NaN,-
"Camarillo, Calif.",13.6,1.8,12.7,73.2,83972,3267,16.6,"Arroyo Grande–Grover Beach–Pismo Beach, Calif. // San Luis Obispo, Calif. // Simi Valley, Calif. // Santa Barbara, Calif. // Thousand Oaks, Calif."
"Cambria, Calif.",40.9,3.3,20.9,74.2,5825,2155,NaN,-
"Cambridge, Md.",31.4,0.9,50.7,67.7,15847,1716,NaN,-
"Cambridge, Minn.",27.3,-1.1,33.8,54.3,12464,2017,NaN,-
"Cambridge, Ohio",28.4,-0.8,44.9,63.4,20685,1884,NaN,-
"Camden, Ark.",56.5,-1.5,58.8,74.8,13211,1195,NaN,-
"Camden, Maine",64.8,4.6,59.1,55.1,7230,1464,NaN,-
"Camden–Lugoff, S.C.",53.9,0.8,49.5,75.1,42176,1208,NaN,-
"Camdenton, Mo.",50.6,0.3,46.6,67.4,10981,1247,NaN,-
"Cameron, Mo.",17.5,2.1,42.3,63.5,11238,2482,NaN,-
"Cameron, Texas",27.3,-3.1,40.1,80.1,6679,1902,NaN,-
"Camilla, Ga.",33.8,-2,52,78.5,7316,1547,NaN,-
"Camp Verde, Ariz.",17.2,5.1,12.6,81.2,8923,1723,NaN,-
"Campbellsville, Ky.",19.4,1.9,59.7,67.8,19034,2213,NaN,-
"Canajoharie–Fort Plain, N.Y.",38.2,1.1,40.6,59.4,9323,2245,NaN,-
"Canandaigua, N.Y.",33.1,-2.9,38.6,57.8,24094,1805,NaN,-
"Canastota, N.Y.",28.2,-1.2,45,58.3,8529,1892,NaN,-
"Canby, Ore.",15.4,-2.5,44.4,64.1,20323,3450,NaN,-
"Canton, Ill.",22.9,-0.8,43.4,61.9,14593,2705,NaN,-
"Canton, Miss.",34.6,-0.3,61.9,76.5,34968,1194,NaN,-
"Canton, N.C.",43.5,4.7,50.1,66.2,15606,1765,NaN,-
"Canton, N.Y.",26.4,-3.1,42.2,55.5,10360,4487,NaN,-
"Canyon Lake, Texas",49,-0.5,34.5,80.1,9696,1051,NaN,-
"Canyon, Texas",10.1,1.3,19.2,73.2,22844,3136,NaN,-
"Cape Girardeau, Mo./Ill.",30.7,0.1,54.8,68.3,64192,2046,28.9,"Paducah, Ky./Ill. // Marion–Herrin, Ill. // Jackson, Tenn. // Jonesboro, Ark. // Owensboro, Ky."
"Carbondale, Colo.",17.9,-0.6,15.5,62.6,7427,2839,NaN,-
"Carbondale, Ill.",34.9,0.2,50.5,67.6,40109,1775,NaN,-
"Carlinville, Ill.",30.6,-2.1,43.7,64.8,6519,2190,NaN,-
"Carlsbad, N.M.",8,-0.7,12.2,79.7,38460,1960,NaN,-
"Carmi, Ill.",19.8,0.1,51.6,67.1,7120,2676,NaN,-
"Caro, Mich.",39.2,1.3,35.4,57.1,9409,2080,NaN,-
"Carrizo Springs, Texas",19.9,4,20.9,85.4,7386,1743,NaN,-
"Carroll, Iowa",16.8,0.5,34.1,58.9,10379,2136,NaN,-
"Carrollton, Ga.",54.2,-0.2,58.1,72.6,48060,1337,NaN,-
"Carrollton, Ky.",27.8,2.5,50.4,66.7,7532,2132,NaN,-
"Carson City, Nev.",11.3,-1.4,12.8,67.1,67093,2537,13.4,"Arroyo Grande–Grover Beach–Pismo Beach, Calif. // Camarillo, Calif. // Hollister, Calif. // Seaside–Monterey–Pacific Grove, Calif. // Reno, Nev./Calif."
"Cartersville, Ga.",43.1,-3.7,54.4,73,66593,1501,49.8,"Winder, Ga. // Rome, Ga. // Anniston–Oxford, Ala. // Anderson–Clemson, S.C. // Athens-Clarke County, Ga."
"Carthage, Mo.",25.6,1.3,49.7,68.8,19640,2297,NaN,-
"Carthage, N.Y.",36.3,-0.5,48.2,55.2,8215,2864,NaN,-
"Carthage, Texas",30,-2.3,50.7,77.4,9510,1276,NaN,-
"Caruthersville, Mo.",17.1,-1.3,53.5,70.2,5523,1702,NaN,-
"Casa Grande, Ariz.",5.3,0.6,7.7,87.6,54693,2546,4.2,"Lake Havasu City, Ariz. // Maricopa, Ariz. // Bullhead City, Ariz./Nev. // Yuma, Ariz./Calif. // Phoenix West–Goodyear–Avondale, Ariz."
"Casper, Wyo.",11.2,1.9,17.3,59.9,71046,2558,12.7,"Cheyenne, Wyo. // Rapid City, S.D. // Castle Rock, Colo. // Lafayette–Erie–Louisville, Colo. // Billings, Mont."
"Castle Rock, Colo.",12.1,1.2,19.5,63.3,101085,2595,13.6,"Lafayette–Erie–Louisville, Colo. // Longmont, Colo. // Cheyenne, Wyo. // Greeley, Colo. // Fort Collins, Colo."
"Castroville–Prunedale, Calif.",11.1,0.8,17.4,69.8,14523,3120,NaN,-
"Catskill, N.Y.",55.6,-0.8,47.7,60.9,13702,2115,NaN,-
"Cañon City, Colo.",16.3,-2.4,12.3,68.6,26784,1682,NaN,-
"Cedar City, Utah",8.9,2.5,14.5,65.6,48512,2651,NaN,-
"Cedar Rapids, Iowa",16.7,-10,38.7,59.5,201614,2320,25.1,"Davenport, Iowa/Ill. // Iowa City, Iowa // Waterloo, Iowa // La Crosse, Wis./Minn. // Dubuque, Iowa/Ill."
"Cedartown, Ga.",42.9,1.3,57.7,73.2,19937,2076,NaN,-
"Celina, Ohio",11.7,-0.9,42.4,61.4,13514,2178,NaN,-
"Center, Texas",42.5,4.8,54.9,77.9,8049,1187,NaN,-
"Centerville, Iowa",28.2,-2.8,40.4,61.4,6234,1789,NaN,-
"Central City, Ky.",41.9,4.3,56,68.7,8514,1911,NaN,-
"Centralia, Ill.",28.2,-2.4,48.2,65.9,20246,2067,NaN,-
"Centralia, Wash.",22.1,-0.3,50.9,61.5,61441,2004,33.1,"Longview, Wash./Ore. // Mount Vernon, Wash. // Marysville, Wash. // Olympia–Lacey, Wash. // Bremerton, Wash."
"Chadron, Neb.",12,0.9,19.3,62.4,5741,2514,NaN,-
"Chambersburg, Pa.",22.3,2,43.5,63.6,65871,1864,31.9,"Williamsport, Pa. // Cumberland, Md./W.Va./Pa. // Westminster, Md. // Altoona, Pa. // Winchester, Va."
"Champaign, Ill.",20.6,0.2,41.6,62.6,152800,3259,22,"Bloomington–Normal, Ill. // Springfield, Ill. // Lafayette, Ind. // Kokomo, Ind. // Kankakee, Ill."
"Chanute, Kan.",24.4,3.4,44.4,68.1,9383,1620,NaN,-
"Chapin, S.C.",64.1,0.9,47.9,75.1,8574,1028,NaN,-
"Chardon, Ohio",53.9,0.1,53.5,58.3,11329,2168,NaN,-
"Charles City, Iowa",28,-2.3,37.6,56.4,8734,2113,NaN,-
"Charleston, Ill.",29.2,-0.2,46.6,64.2,19434,2516,NaN,-
"Charleston, W.Va.",44.7,1.3,50.3,66.7,184876,1806,34,"Johnson City, Tenn. // Roanoke, Va. // Huntington, W.Va./Ky./Ohio // Bristol, Tenn./Va. // Parkersburg, W.Va./Ohio"
"Charlestown, Ind.",26.1,0.4,55.9,67,9695,1891,NaN,-
"Charlestown, R.I.",59,-2.3,48.8,60.7,11719,1199,NaN,-
"Charlevoix, Mich.",39.9,-2.5,35,53.5,7321,1723,NaN,-
"Charlotte, Mich.",27,0.9,39.1,58.5,15701,1824,NaN,-
"Charlottesville, Va.",41.7,-1.5,46.3,67.8,113587,3060,35.3,"Winchester, Va. // Waldorf, Md. // Harrisonburg, Va. // Fredericksburg, Va. // Frederick, Md."
"Chatsworth, Ga.",38.5,-1.7,63.2,71.9,20915,1301,NaN,-
"Cheboygan, Mich.",34.7,0.4,33.8,53.4,8115,1338,NaN,-
"Chelan, Wash.",10.7,1.2,14.6,61.4,9135,1212,NaN,-
"Chelsea, Mich.",37.2,1.7,37,58.9,10082,2811,NaN,-
"Cheney, Wash.",12.5,0,19.3,58.6,16200,4283,NaN,-
"Cheraw, S.C.",45,-1.8,52.6,74.8,9702,1317,NaN,-
"Cherokee, Iowa",19.7,0.3,31.6,58.6,6214,1974,NaN,-
"Cherryville, N.C.",48.2,4.4,53.4,71.6,14515,2200,NaN,-
"Chesapeake Beach, Md.",64,2.8,50,67,23467,1773,NaN,-
"Chester, Ill.",42.6,-1.1,48.2,67.3,7844,1974,NaN,-
"Chester, N.Y.",39.4,1.1,49.8,61.3,12580,2327,NaN,-
"Chester, S.C.",45.9,3.1,46.5,73.3,15636,2515,NaN,-
"Chestertown, Md.",39,4.4,50.1,66,10057,2279,NaN,-
"Cheyenne, Wyo.",8,-1.1,16.2,59.9,85293,2523,13.3,"Rapid City, S.D. // Castle Rock, Colo. // Casper, Wyo. // Lafayette–Erie–Louisville, Colo. // Fort Collins, Colo."
"Chickasha, Okla.",19.9,1.7,34.8,73.8,16709,1705,NaN,-
"Chico, Calif.",29.3,3.3,28.6,76.9,116866,3462,15.2,"Vacaville, Calif. // Yuba City, Calif. // Napa, Calif. // Fairfield, Calif. // Woodland, Calif."
"Childress, Texas",12.4,2.2,23.9,76.7,4438,1421,NaN,-
"Chillicothe, Mo.",20.8,0.7,42,64.3,11461,1925,NaN,-
"Chillicothe, Ohio",23,1.7,44.1,64.8,39427,2384,NaN,-
"Chincoteague, Va.",28.6,-2.6,49.2,67.2,3303,790,NaN,-
"Chino Valley, Ariz.",7.2,0.8,14.1,74,18060,1323,NaN,-
"Chisholm, Minn.",23.3,-2.8,30.5,49.6,4759,2163,NaN,-
"Chittenango, N.Y.",31.3,-1.7,44.7,58.3,9140,4203,NaN,-
"Chowchilla, Calif.",13.2,4.5,11.7,77.4,14081,2892,NaN,-
"Cienega Springs, Ariz.",3.4,-0.1,4.4,89.5,3095,903,NaN,-
"Circleville, Ohio",19.3,3.1,41.5,64.4,20514,2785,NaN,-
"Clanton, Ala.",36.5,-1.7,62,75.2,13180,1446,NaN,-
"Claremont, N.H.",46.2,-1.5,42.9,57.6,13018,2173,NaN,-
"Claremore, Okla.",23.6,0.9,44,72,35326,2291,NaN,-
"Clarinda, Iowa",19.3,-2.7,36.9,62.2,5487,2314,NaN,-
"Clarion, Pa.",26.8,0.4,52.6,59.3,8571,2534,NaN,-
"Clarksburg, W.Va.",37.2,0.4,49.4,64.5,44608,1977,NaN,-
"Clarksdale, Miss.",22.1,-0.1,59.5,73.6,17264,2326,NaN,-
"Clarksville, Ark.",36.2,0.9,54.7,72.4,11552,1476,NaN,-
"Clarksville, Tenn./Ky.",29.8,-0.8,58.3,69.7,217572,1925,29,"Murfreesboro, Tenn. // Evansville, Ind. // Bowling Green, Ky. // Jackson, Tenn. // Columbia, Tenn."
"Clay Center, Kan.",28.7,4.1,32.9,66.9,4559,1813,NaN,-
"Clayton, N.C.",46.5,-2.5,52.4,72.1,67528,1796,39.2,"Goldsboro, N.C. // Rocky Mount, N.C. // Wilson, N.C. // Asheboro, N.C. // Greenville, N.C."
"Clayton, N.Y.",22.7,0.8,41.6,56,6286,1923,NaN,-
"Cle Elum, Wash.",31.3,-0.4,34.4,57.1,4611,1027,NaN,-
"Clear Lake, Iowa",21.5,-0.9,37.1,56.1,9937,1141,NaN,-
"Clearfield, Pa.",32.1,2.5,44.6,60.1,13443,1883,NaN,-
"Clearlake Riviera, Calif.",37.4,1.2,37,72.7,7764,1105,NaN,-
"Clearlake, Calif.",29.1,-1.7,35.1,73.9,18650,2275,NaN,-
"Cleburne, Texas",25.2,-1.8,40.8,77.3,63045,2433,28.1,"Weatherford, Texas // Sherman–Denison, Texas // Temple, Texas // Waco, Texas // College Station–Bryan, Texas"
"Cleveland, Miss.",22,-1.1,57.1,74.3,18283,2222,NaN,-
"Cleveland, Tenn.",42.7,0.8,62.8,71.4,89759,1633,38.9,"Dalton, Ga. // Rome, Ga. // Decatur, Ala. // Cookeville, Tenn. // Albertville, Ala."
"Cleveland, Texas",38.9,-0.5,53.5,79.9,14478,3201,NaN,-
"Clewiston, Fla.",13.3,-1.3,53.9,84.9,14263,2501,NaN,-
"Clifton Forge, Va.",52.8,1.2,43.6,66.2,9180,1708,NaN,-
"Clifton Springs, N.Y.",40.4,-0.5,39.1,58.2,9858,2235,NaN,-
"Clinton, Ill.",23.4,-0.4,41.1,62.6,10911,2992,NaN,-
"Clinton, Ind.",29.5,-2.5,45.8,64.5,9630,3090,NaN,-
"Clinton, Mo.",30.7,0.6,45.3,66.9,9021,1475,NaN,-
"Clinton, N.C.",29.9,1.4,53.2,73.5,14577,1595,NaN,-
"Clinton, N.J.",51.1,1.6,52.7,63.2,23991,2142,NaN,-
"Clinton, Okla.",12.6,2.2,28.8,73.6,8184,1948,NaN,-
"Clinton, S.C.",45.3,0.8,49.2,73.7,11234,1326,NaN,-
"Clinton–Fulton, Iowa/Ill.",18.9,-4.6,40.8,59.9,33871,1666,NaN,-
"Clintonville, Wis.",20.3,-1.2,35.9,54.9,6969,2510,NaN,-
"Cloquet, Minn.",39.4,-1.2,35.6,50.7,21436,2230,NaN,-
"Clover, S.C.",50.7,5.5,49.7,72.4,10340,2001,NaN,-
"Cloverdale, Calif.",24.8,0.4,39.1,74.1,10200,3028,NaN,-
"Clovis, N.M.",8.3,1.6,17.2,73.7,41120,2596,NaN,-
"Clyde, Ohio",19.5,2,41.9,60.7,10941,1960,NaN,-
"Coal City–Braidwood, Ill.",22.9,2.3,41.4,60.7,18238,1733,NaN,-
"Coalinga, Calif.",9.6,1.6,9,78.6,12121,3318,NaN,-
"Cobleskill, N.Y.",23.5,0.2,42.9,57.4,7678,1771,NaN,-
"Cochran, Ga.",40,-1.1,54.8,77.4,12413,2243,NaN,-
"Cody, Wyo.",10.4,0.7,11.3,58.2,10970,1631,NaN,-
"Coeur d'Alene, Idaho",18.9,-0.2,27.7,58.3,139780,2900,16.5,"Bend, Ore. // Missoula, Mont. // Lewiston, Idaho/Wash. // Walla Walla, Wash./Ore. // Spokane, Wash."
"Coffeyville, Kan./Okla.",23.5,2,44.1,70.2,11185,1500,NaN,-
"Colby, Kan.",19,5.8,21.1,66.9,5755,1938,NaN,-
"Colchester, Conn.",52.4,-1.7,55.2,59.7,13323,2651,NaN,-
"Cold Spring, Minn.",23.1,-0.4,32.5,53.6,9713,3025,NaN,-
"Cold Springs, Nev.",6,0.8,15.6,65.2,11435,3272,NaN,-
"Coldwater, Mich.",22.5,-0.4,41.3,58.8,17921,1630,NaN,-
"Coleman, Texas",25.8,8.2,26.8,78.6,4148,1498,NaN,-
"College Station–Bryan, Texas",25,-0.5,41.7,80.2,224934,2754,27.9,"Waco, Texas // Killeen, Texas // Temple, Texas // The Woodlands–Conroe, Texas // San Marcos, Texas"
"Collins, N.Y.",40.4,-8.7,48.8,58.1,9372,3987,NaN,-
"Collinsville, Okla.",22.8,1.9,42.3,72.1,8277,1918,NaN,-
"Colonial Beach, Va.",37.3,-0.9,49.7,68.5,5982,3444,NaN,-
"Colorado City, Texas",12.3,4.5,20.7,78.3,5283,1931,NaN,-
"Columbia City, Ind.",18.9,-0.6,40.5,60.2,15495,2574,NaN,-
"Columbia Falls, Mont.",20.4,2.5,25.5,55.6,11208,2663,NaN,-
"Columbia, Ky.",25.2,1.5,60.1,68.3,8678,2547,NaN,-
"Columbia, Mo.",34,0.5,43.5,65.8,151350,2245,30.2,"Springfield, Ill. // Lee's Summit, Mo. // Alton, Ill. // St. Joseph, Mo./Kan. // Jefferson City, Mo."
"Columbia, Miss.",38.2,-3.1,66.8,78.7,9665,1530,NaN,-
"Columbia, Tenn.",33.7,0.5,58.9,70.8,60259,1914,27.7,"Lebanon, Tenn. // Decatur, Ala. // Jackson, Tenn. // Florence, Ala. // Bowling Green, Ky."
"Columbiana, Ohio",31.2,2.3,44.2,60.9,16144,2277,NaN,-
"Columbus, Ind.",19.5,-0.3,48.4,64.7,70529,2505,24.7,"Kokomo, Ind. // Owensboro, Ky. // Anderson, Ind. // Terre Haute, Ind. // Bloomington, Ind."
"Columbus, Miss.",39.8,-2.4,60.6,75.3,36527,1795,NaN,-
"Columbus, Neb.",10.9,-2,29.2,62.1,28021,2043,NaN,-
"Columbus, Wis.",15.4,-0.1,37.9,56.5,9047,2253,NaN,-
"Colusa, Calif.",12.9,-4.1,16.7,77.1,7783,2636,NaN,-
"Colville, Wash.",10.1,-0.4,24.1,59.8,8480,2681,NaN,-
"Commerce, Ga.",44,-2.3,58.2,72.4,15325,1479,NaN,-
"Commerce, Texas",28,1.9,49.3,76,10250,3045,NaN,-
"Concord, N.H.",47.6,-2.2,46,58.6,57306,2060,44.8,"Dover–Rochester, N.H./Maine // Amherst Town–Northampton–Easthampton Town, Mass. // Burlington, Vt. // Leominster–Fitchburg, Mass. // Manchester, N.H."
"Concordia, Kan.",20.7,0.7,29.7,66.3,5525,1792,NaN,-
"Conesus Lake, N.Y.",39.7,-3.3,37.6,58.3,10504,1005,NaN,-
"Conneaut Lakeshore, Pa.",39.4,4.8,46.2,58.9,3705,708,NaN,-
"Conneaut, Ohio",39.6,-1.2,43.6,59,13878,1708,NaN,-
"Connell, Wash.",2.5,0.1,9.4,64.7,6204,2873,NaN,-
"Connellsville, Pa.",28.3,5.6,50.3,62.5,44190,2104,NaN,-
"Connersville, Ind.",23.2,-1.3,45.9,63.3,18395,2469,NaN,-
"Conway, Ark.",31.1,1,56.5,73,80344,2424,39.6,"Jonesboro, Ark. // Hot Springs, Ark. // Pine Bluff, Ark. // Fort Smith, Ark./Okla. // Little Rock, Ark."
"Conway, N.H.",62.4,-2.5,53,56.7,11491,1274,NaN,-
"Cookeville, Tenn.",34.1,-0.2,65.2,68.8,68924,1514,36.2,"London–Corbin, Ky. // Albertville, Ala. // Dalton, Ga. // Cleveland, Tenn. // Lebanon, Tenn."
"Coolbaugh–Pocono Pines, Pa.",71.7,4.4,58.3,56.5,29856,1456,NaN,-
"Coolidge, Ariz.",5,0.8,7.9,87.6,13756,3305,NaN,-
"Coos Bay, Ore.",33.2,2,62.1,60.4,35834,2312,NaN,-
"Coquille, Ore.",44.6,3.9,60.2,61.9,5676,1595,NaN,-
"Corcoran, Calif.",6.9,0.2,8.1,78.9,23357,3708,NaN,-
"Cordele, Ga.",34.4,-0.3,51.8,77.7,15439,1791,NaN,-
"Corinth, Miss.",39.2,1.3,63.5,72.4,19044,1490,NaN,-
"Corinth, N.Y.",54.7,1.2,50.1,57.5,6836,2190,NaN,-
"Cornelia–Baldwin, Ga.",52.7,-0.1,63.7,70.3,29642,1513,NaN,-
"Corning, Calif.",15.8,0.1,22.4,77.1,11919,3948,NaN,-
"Corning, N.Y.",27.5,-3,37,59.3,26033,2364,NaN,-
"Corona de Tucson, Ariz.",6.9,2.7,12.6,82.2,9134,2668,NaN,-
"Corry, Pa.",41.1,2,53.3,57.5,7484,1805,NaN,-
"Corsicana, Texas",28.6,-1.5,43.2,78,31843,2036,NaN,-
"Cortez, Colo.",10.9,0.2,12.6,65.8,12576,2973,NaN,-
"Cortland, N.Y.",29.3,0.2,45.8,56.5,28989,2797,NaN,-
"Corvallis, Ore.",26.5,1.3,42.3,63.9,73142,4183,21.5,"Longview, Wash./Ore. // Mount Vernon, Wash. // Albany, Ore. // Eugene, Ore. // Salem, Ore."
"Corydon, Ind.",25.7,1.5,54.3,67.1,12287,3428,NaN,-
"Coshocton, Ohio",25.7,-0.6,44.6,62.7,14602,1857,NaN,-
"Cottage Grove, Ore.",23.6,1.2,46.3,64.2,14460,2747,NaN,-
"Cottonwood (Yavapai County)–Verde Village, Ariz.",14.7,3.2,12.7,80.2,30709,1815,NaN,-
"Covington, Tenn.",27.8,3.5,60.1,71.2,13634,2278,NaN,-
"Covington, Va.",44.2,2.8,43.5,65.8,9034,1172,NaN,-
"Coxsackie, N.Y.",23.9,0,45.4,60.5,7997,2116,NaN,-
"Craig, Colo.",9,-0.1,15.5,59.2,11895,2162,NaN,-
"Crawfordsville, Ind.",26.5,-0.9,45.1,62.3,22320,2278,NaN,-
"Crawfordville, Fla.",55.8,-8.6,64.9,80.4,17735,1826,NaN,-
"Creedmoor, N.C.",48.4,2.9,48.6,70.9,12725,1871,NaN,-
"Crescent City, Calif.",35.4,1.4,70.2,62.6,19646,1190,NaN,-
"Cresson, Pa.",38.9,5.2,51.8,57.6,9888,2388,NaN,-
"Crestline, Ohio",25.8,3.6,45.2,60.8,8056,2526,NaN,-
"Crestline–Lake Arrowhead, Calif.",55.6,-3.9,25.5,68.7,21178,1078,NaN,-
"Creston, Iowa",17.6,1.2,39,60.5,8438,1864,NaN,-
"Crestview, Fla.",55.3,-0.9,67.9,79,50652,1250,38.7,"Pascagoula–Gautier, Miss. // Foley–Gulf Shores, Ala. // Fairhope–Daphne, Ala. // Dothan, Ala. // Panama City–Panama City Beach, Fla."
"Creswell, Ore.",12.8,2.7,41.7,64.1,9922,3548,NaN,-
"Crete, Neb.",27.6,-1,31.5,63.5,7879,3002,NaN,-
"Crisfield, Md.",37.4,-1.4,49,68.1,3799,1338,NaN,-
"Crockett, Texas",36.4,-0.9,46.8,78.5,7928,1213,NaN,-
"Crookston, Minn.",17.9,1,22.3,51.2,8367,1803,NaN,-
"Crossett, Ark.",52.6,0.9,59.2,75.5,10090,1099,NaN,-
"Crossville, Tenn.",47.9,0.4,65.1,66.3,31690,1113,NaN,-
